0001.HK,500
0002.HK,500
0003.HK,1000
0004.HK,1000
0005.HK,400
0006.HK,500
0007.HK,2000
0008.HK,1000
0009.HK,6000
0010.HK,1000
0011.HK,100
0012.HK,1000
0014.HK,1000
0015.HK,2000
0016.HK,1000
0017.HK,1000
0018.HK,2000
0019.HK,500
0020.HK,1000
0021.HK,5000
0022.HK,40000
0023.HK,200
0024.HK,2000
0025.HK,2000
0026.HK,200
0027.HK,1000
0028.HK,1000
0029.HK,2000
0030.HK,2000
0031.HK,2000
0032.HK,1000
0033.HK,2000
0034.HK,1000
0035.HK,1000
0036.HK,3000
0037.HK,2000
0038.HK,2000
0039.HK,8000
0040.HK,1000
0041.HK,1000
0042.HK,2000
0043.HK,2000
0044.HK,400
0045.HK,500
0046.HK,2000
0047.HK,4000
0048.HK,10000
0050.HK,1000
0051.HK,1000
0052.HK,500
0053.HK,1000
0054.HK,500
0055.HK,10000
0056.HK,2000
0057.HK,2000
0058.HK,20000
0059.HK,2000
0060.HK,2000
0061.HK,10000
0062.HK,400
0063.HK,1000
0064.HK,2000
0065.HK,4000
0066.HK,500
0067.HK,2000
0068.HK,1000
0069.HK,2000
0070.HK,10000
0071.HK,1000
0072.HK,2000
0073.HK,1000
0075.HK,2000
0076.HK,4000
0077.HK,2000
0078.HK,2000
0079.HK,4000
0081.HK,1000
0082.HK,2000
0083.HK,2000
0084.HK,1000
0085.HK,2000
0086.HK,1000
0087.HK,2500
0088.HK,1000
0089.HK,1000
0090.HK,2000
0091.HK,25000
0092.HK,2000
0093.HK,2000
0094.HK,2000
0095.HK,4000
0096.HK,2000
0097.HK,1000
0098.HK,1000
0099.HK,1000
0100.HK,1000
0101.HK,1000
0102.HK,2000
0103.HK,2000
0104.HK,5000
0105.HK,2000
0106.HK,4000
0107.HK,2000
0108.HK,2000
0109.HK,10000
0110.HK,2000
0111.HK,2000
0112.HK,2000
0113.HK,500
0114.HK,5000
0115.HK,10000
0116.HK,1000
0117.HK,2000
0118.HK,2000
0119.HK,1000
0120.HK,20000
0121.HK,10000
0122.HK,1000
0123.HK,2000
0124.HK,2000
0125.HK,2000
0126.HK,2000
0127.HK,500
0128.HK,4000
0129.HK,2000
0130.HK,2000
0131.HK,1000
0132.HK,1000
0135.HK,2000
0136.HK,4000
